"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PNB","EQ","01-Feb-2021","         33.35","         33.75","         36.00","         33.10","         35.75","         35.75","         34.42","  200145354","          6888068371.15","     160239","   30962788","         15.47"
"PNB","EQ","02-Feb-2021","         35.75","         36.10","         36.85","         35.55","         36.10","         36.20","         36.20","  199832087","          7233085992.20","     152307","   26394112","         13.21"
"PNB","EQ","03-Feb-2021","         36.20","         36.45","         38.75","         35.70","         38.55","         38.35","         37.36","  260980002","          9749818424.50","     202016","   75847471","         29.06"
"PNB","EQ","04-Feb-2021","         38.35","         38.50","         41.00","         38.00","         40.30","         40.50","         39.61","  384813812","         15244391687.50","     318181","   70520194","         18.33"
"PNB","EQ","05-Feb-2021","         40.50","         41.30","         42.75","         39.70","         40.10","         40.15","         41.40","  329090924","         13623145486.95","     328278","   96755893","         29.40"
"PNB","EQ","08-Feb-2021","         40.15","         40.95","         41.20","         37.75","         38.10","         38.00","         38.81","  208191094","          8078911229.80","     245997","   59355314","         28.51"
"PNB","EQ","09-Feb-2021","         38.00","         38.25","         41.05","         37.35","         38.85","         39.05","         39.64","  376625747","         14930513973.60","     349764","   51327949","         13.63"
"PNB","EQ","10-Feb-2021","         39.05","         38.80","         39.95","         38.65","         39.50","         39.45","         39.33","  213081321","          8381329282.85","     177856","   19161593","          8.99"
"PNB","EQ","11-Feb-2021","         39.45","         39.45","         40.10","         38.60","         38.70","         38.75","         39.23","  151510830","          5943882898.90","     119968","   19259835","         12.71"
"PNB","EQ","12-Feb-2021","         38.75","         39.00","         39.65","         38.40","         38.85","         38.80","         38.97","  158520381","          6177626270.10","     120773","   13732639","          8.66"
"PNB","EQ","15-Feb-2021","         38.80","         39.25","         40.05","         39.00","         39.65","         39.55","         39.43","  127928424","          5044676758.90","     106995","   21822905","         17.06"
"PNB","EQ","16-Feb-2021","         39.55","         40.00","         40.65","         39.10","         39.55","         39.50","         39.81","  187520683","          7465971234.55","     131120","   30453955","         16.24"
"PNB","EQ","17-Feb-2021","         39.50","         39.50","         42.50","         39.30","         41.35","         41.70","         41.58","  466579666","         19398815583.55","     388759","   75106379","         16.10"
"PNB","EQ","18-Feb-2021","         41.70","         42.00","         44.30","         41.80","         43.95","         43.80","         43.38","  365119300","         15838005286.95","     331081","   79598875","         21.80"
"PNB","EQ","19-Feb-2021","         43.80","         44.25","         46.35","         41.20","         42.35","         42.05","         43.98","  429882183","         18905356570.90","     382470","   64402143","         14.98"
"PNB","EQ","22-Feb-2021","         42.05","         42.55","         42.85","         40.20","         40.85","         41.05","         41.51","  207909169","          8631100050.85","     190212","   25308693","         12.17"
"PNB","EQ","23-Feb-2021","         41.05","         41.30","         42.20","         40.65","         41.15","         41.00","         41.49","  217940163","          9042728042.80","     157228","   29260032","         13.43"
"PNB","EQ","24-Feb-2021","         41.00","         41.45","         42.10","         41.25","         41.85","         41.80","         41.68","   76642692","          3194313832.60","      69250","   18703674","         24.40"
"PNB","EQ","25-Feb-2021","         41.80","         42.25","         42.65","         41.75","         42.05","         41.90","         42.20","  133293103","          5624918395.50","     102836","   42261245","         31.71"
"PNB","EQ","26-Feb-2021","         41.90","         41.00","         41.70","         40.35","         40.75","         40.85","         41.02","  191695436","          7863491124.65","     162938","   40943635","         21.36"
"PNB","EQ","01-Mar-2021","         40.85","         41.40","         41.45","         40.55","         40.90","         40.80","         41.00","  120923262","          4958246457.45","      99230","   23317325","         19.28"
"PNB","EQ","02-Mar-2021","         40.80","         41.15","         41.65","         40.70","         41.15","         41.00","         41.08","  115358594","          4738812153.15","      82606","   22353015","         19.38"
"PNB","EQ","03-Mar-2021","         41.00","         41.40","         43.90","         41.25","         43.55","         43.55","         42.87","  238140740","         10210028519.05","     193714","   54236479","         22.77"
"PNB","EQ","04-Mar-2021","         43.55","         43.00","         44.30","         42.45","         43.50","         43.60","         43.72","  215065585","          9402602988.10","     170288","   37327068","         17.36"
"PNB","EQ","05-Mar-2021","         43.60","         43.60","         43.60","         41.30","         42.00","         41.70","         42.18","  129772294","          5474180097.70","     128481","   33189074","         25.57"
"PNB","EQ","08-Mar-2021","         41.70","         42.20","         42.85","         41.60","         41.65","         41.75","         42.16","   89990535","          3794155633.60","     101962","   23113718","         25.68"
"PNB","EQ","09-Mar-2021","         41.75","         41.95","         42.35","         40.75","         41.65","         41.60","         41.51","   77359752","          3211472894.65","      74800","   15820901","         20.45"
"PNB","EQ","10-Mar-2021","         41.60","         42.00","         42.25","         41.30","         41.55","         41.50","         41.63","   48965330","          2038385938.40","      52535","    8548501","         17.46"
"PNB","EQ","12-Mar-2021","         41.50","         41.85","         41.95","         40.70","         41.10","         41.05","         41.29","   59205010","          2444804162.05","      66088","   16300434","         27.53"
"PNB","EQ","15-Mar-2021","         41.05","         41.05","         41.10","         39.75","         40.85","         40.80","         40.53","   83782423","          3395615868.30","      92141","   24303560","         29.01"
"PNB","EQ","16-Mar-2021","         40.80","         41.00","         41.40","         39.60","         39.75","         39.80","         40.19","   99770550","          4009997900.10","      91730","   18711176","         18.75"
"PNB","EQ","17-Mar-2021","         39.80","         39.85","         39.95","         38.05","         38.15","         38.40","         39.12","   89295594","          3493129804.45","      85962","   17973513","         20.13"
"PNB","EQ","18-Mar-2021","         38.40","         39.00","         39.10","         36.65","         38.00","         37.70","         37.90","  126241327","          4784903677.30","     124119","   18770227","         14.87"
"PNB","EQ","19-Mar-2021","         37.70","         37.20","         38.75","         36.35","         38.45","         38.45","         37.75","  135987432","          5132859634.50","     123644","   14134000","         10.39"
"PNB","EQ","22-Mar-2021","         38.45","         38.45","         38.55","         37.50","         37.85","         37.95","         37.95","   94389245","          3581977561.35","      79109","   11578992","         12.27"
"PNB","EQ","23-Mar-2021","         37.95","         37.85","         39.20","         37.80","         38.85","         38.75","         38.54","  108051825","          4164678613.70","      95575","   12671066","         11.73"
"PNB","EQ","24-Mar-2021","         38.75","         38.65","         39.05","         36.75","         36.95","         37.00","         37.80","  118077858","          4463553119.75","     113708","   23854182","         20.20"
"PNB","EQ","25-Mar-2021","         37.00","         37.00","         37.00","         34.80","         35.55","         35.50","         35.60","  190748444","          6790528477.00","     172657","   26820361","         14.06"
"PNB","EQ","26-Mar-2021","         35.50","         36.20","         36.40","         35.70","         36.20","         36.00","         36.06","  100724564","          3631871332.30","      80130","   12394045","         12.30"
"PNB","EQ","30-Mar-2021","         36.00","         36.40","         36.70","         35.80","         36.15","         36.15","         36.30","   94892266","          3444192770.25","      87402","   14911256","         15.71"
"PNB","EQ","31-Mar-2021","         36.15","         36.10","         37.65","         35.75","         36.60","         36.65","         36.86","  117399302","          4327817095.20","      95985","   14779014","         12.59"
"PNB","EQ","01-Apr-2021","         36.65","         37.00","         38.50","         36.80","         38.25","         38.20","         37.49","  100007430","          3749181316.15","      87456","   13301543","         13.30"
"PNB","EQ","05-Apr-2021","         38.20","         38.55","         38.55","         36.20","         36.95","         36.95","         37.00","  103941329","          3845757161.05","      99950","   14511387","         13.96"
"PNB","EQ","06-Apr-2021","         36.95","         36.95","         37.55","         36.25","         37.10","         37.05","         37.07","   94329535","          3497111646.25","      68902","    7309321","          7.75"
"PNB","EQ","07-Apr-2021","         37.05","         37.05","         38.10","         36.85","         37.60","         37.60","         37.66","   96171649","          3622219233.55","      69195","   12372426","         12.86"
"PNB","EQ","08-Apr-2021","         37.60","         37.75","         38.10","         37.35","         37.50","         37.45","         37.77","   68360846","          2582250896.15","      51536","    6713964","          9.82"
"PNB","EQ","09-Apr-2021","         37.45","         37.35","         39.00","         37.20","         38.00","         37.85","         38.25","  130289882","          4983366848.65","     100459","   10604933","          8.14"
"PNB","EQ","12-Apr-2021","         37.85","         36.75","         36.85","         33.30","         34.00","         33.95","         34.60","  184407237","          6379594545.50","     199239","   35957692","         19.50"
"PNB","EQ","13-Apr-2021","         33.95","         34.00","         35.30","         33.65","         35.05","         35.10","         34.48","  147766538","          5095352258.30","     114990","   16384671","         11.09"
"PNB","EQ","15-Apr-2021","         35.10","         34.60","         35.35","         34.15","         34.75","         34.75","         34.69","  115658330","          4012335494.45","      93955","    9505223","          8.22"
"PNB","EQ","16-Apr-2021","         34.75","         35.00","         35.40","         34.50","         34.70","         34.80","         34.94","  100392762","          3508072851.70","      75811","    9097589","          9.06"
"PNB","EQ","19-Apr-2021","         34.80","         33.60","         33.80","         32.50","         33.05","         33.15","         32.96","  122301341","          4031077514.65","     115059","   15273129","         12.49"
"PNB","EQ","20-Apr-2021","         33.15","         34.00","         34.20","         33.40","         33.70","         33.70","         33.89","  117371947","          3977709447.95","      75249","   17127686","         14.59"
"PNB","EQ","22-Apr-2021","         33.70","         33.20","         34.15","         33.05","         33.90","         33.90","         33.81","  100459282","          3396464920.00","      73073","    6487253","          6.46"
"PNB","EQ","23-Apr-2021","         33.90","         33.50","         34.70","         33.40","         33.95","         34.00","         34.21","  122182836","          4179796727.70","      74043","    7874494","          6.44"
"PNB","EQ","26-Apr-2021","         34.00","         34.25","         34.70","         34.25","         34.40","         34.45","         34.46","   73069756","          2518165645.30","      50019","    7995182","         10.94"
"PNB","EQ","27-Apr-2021","         34.45","         34.40","         35.30","         34.35","         35.05","         34.95","         34.90","   97206393","          3392355775.75","      62145","   10544910","         10.85"
"PNB","EQ","28-Apr-2021","         34.95","         35.20","         35.80","         35.05","         35.70","         35.65","         35.49","   94894461","          3367396420.10","      66710","   12685021","         13.37"
"PNB","EQ","29-Apr-2021","         35.65","         35.80","         36.20","         34.90","         35.00","         35.05","         35.35","  127130844","          4493491185.70","      81031","   15560080","         12.24"
